Date,NIFTY_50,NIFTY_FIN_SERVICES,NIFTY_AUTO
2019-03-08,11035.400390625,11619.599609375,8582.599609375
2019-03-11,11168.0498046875,11721.0498046875,8782.7001953125
2019-03-12,11301.2001953125,11895.4501953125,8802.900390625
2019-03-13,11341.7001953125,12034.150390625,8767.5498046875
2019-03-14,11343.25,12027.2998046875,8725.5
2019-03-15,11426.849609375,12206.400390625,8748.0498046875
2019-03-18,11462.2001953125,12269.9501953125,8627.0498046875
2019-03-19,11532.400390625,12314.849609375,8567.0498046875
2019-03-20,11521.0498046875,12351.0498046875,8445.099609375
2019-03-22,11456.900390625,12261.599609375,8336.599609375
2019-03-25,11354.25,12136.099609375,8238.5498046875
2019-03-26,11483.25,12323.4501953125,8287.25
2019-03-27,11445.0498046875,12302.849609375,8215.349609375
2019-03-28,11570.0,12474.349609375,8234.25
2019-04-01,11669.150390625,12499.650390625,8414.349609375
2019-04-02,11713.2001953125,12538.599609375,8504.2998046875
2019-04-03,11643.9501953125,12506.7998046875,8480.650390625
2019-04-04,11598.0,12499.7001953125,8536.349609375
2019-04-05,11665.9501953125,12594.9501953125,8564.599609375
2019-04-08,11604.5,12504.0498046875,8526.2998046875
2019-04-09,11671.9501953125,12568.099609375,8622.7998046875
2019-04-10,11584.2998046875,12426.650390625,8644.5
2019-04-11,11596.7001953125,12450.0,8690.0498046875
2019-04-12,11643.4501953125,12495.599609375,8777.4501953125
2019-04-15,11690.349609375,12535.2998046875,8911.599609375
2019-04-16,11787.150390625,12663.2998046875,8983.5498046875
2019-04-18,11752.7998046875,12567.2998046875,8972.650390625
2019-04-22,11594.4501953125,12347.0498046875,8813.900390625
2019-04-23,11575.9501953125,12295.4501953125,8682.900390625
2019-04-24,11726.150390625,12466.849609375,8646.0498046875
2019-04-25,11641.7998046875,12344.7001953125,8587.900390625
2019-04-26,11754.650390625,12506.099609375,8493.7998046875
2019-04-30,11748.150390625,12555.4501953125,8350.599609375
2019-05-02,11724.75,12583.7998046875,8333.849609375
2019-05-03,11712.25,12637.0,8381.4501953125
2019-05-06,11598.25,12477.400390625,8268.4501953125
2019-05-07,11497.900390625,12363.650390625,8206.25
2019-05-08,11359.4501953125,12216.150390625,8095.89990234375
2019-05-09,11301.7998046875,12174.25,8103.5
2019-05-10,11278.900390625,12248.0,8093.2001953125
2019-05-13,11148.2001953125,12179.9501953125,7938.64990234375
2019-05-14,11222.0498046875,12225.900390625,7955.5
2019-05-15,11157.0,12209.2998046875,7856.85009765625
2019-05-16,11257.099609375,12325.5498046875,7891.89990234375
2019-05-17,11407.150390625,12640.7998046875,8085.75
2019-05-20,11828.25,13222.4501953125,8422.099609375
2019-05-21,11709.099609375,13084.75,8209.4501953125
2019-05-22,11737.900390625,13156.0,8246.5498046875
2019-05-23,11657.0498046875,13028.349609375,8216.900390625
2019-05-24,11844.099609375,13304.349609375,8460.25
2019-05-27,11924.75,13498.2001953125,8462.2001953125
2019-05-28,11928.75,13447.2001953125,8398.2001953125
2019-05-29,11861.099609375,13361.5498046875,8281.900390625
2019-05-30,11945.900390625,13515.9501953125,8235.7001953125
2019-05-31,11922.7998046875,13479.7998046875,8175.5
2019-06-03,12088.5498046875,13636.099609375,8328.2001953125
2019-06-04,12021.650390625,13610.2001953125,8300.2001953125
2019-06-06,11843.75,13345.7001953125,8226.4501953125
2019-06-07,11870.650390625,13466.849609375,8192.0
2019-06-10,11922.7001953125,13447.7998046875,8216.650390625
